time="2021-06-04 06:49:55" level=info msg="run server!"
time="2021-06-04 06:54:06" level=info msg="run server!"
time="2021-06-04 07:02:33" level=info msg="run server!"
time="2021-06-04 07:09:53" level=info msg="run server!"
time="2021-06-04 07:12:50" level=info msg="| 200 |  43.07054296s |   192.168.8.130 | POST | /phone/preregister |"
time="2021-06-04 07:40:26" level=info msg="run server!"
time="2021-06-04 07:41:32" level=info msg="run server!"
time="2021-06-04 07:43:00" level=info msg="run server!"
time="2021-06-04 07:43:03" level=info msg="12345678911验证状况!&{{authorizationStateWaitEncryptionKey hIlfUUBuhFIilFAJptOImWQmudqoiClF} true}"
time="2021-06-04 07:43:03" level=info msg="12345678911验证状况!&{{authorizationStateWaitPhoneNumber vLGEtCfImROptqqkYQmLIQgMVhsDEvDa}}"
time="2021-06-04 07:43:03" level=info msg="12345678911验证状况!&{{authorizationStateWaitPhoneNumber ENYiRRmRQYJjhBUTeJHBEgEUWKHfkDpL}}"
time="2021-06-04 07:43:03" level=info msg="12345678911验证状况!&{{authorizationStateWaitPhoneNumber DmVwCotjYpnjZJukTWejinQjGVomRosg}}"
time="2021-06-04 07:43:03" level=info msg="12345678911验证状况!&{{authorizationStateWaitPhoneNumber OJFCgHHtDmEdOkurQGAzafBRBiKjMjkE}}"
time="2021-06-04 07:43:03" level=info msg="12345678911验证状况!&{{authorizationStateWaitPhoneNumber foHDPqhdXytkPmmrExSBPXoGUvxLcOtW}}"
time="2021-06-04 07:43:03" level=info msg="12345678911验证状况!&{{authorizationStateWaitPhoneNumber UsTxKepCNcnVDONCVZpMbLHIfoEAwlTe}}"
time="2021-06-04 07:43:03" level=info msg="12345678911验证状况!&{{authorizationStateWaitPhoneNumber mtxFShpjooRrhcYlUAVprGNceFXLFIPp}}"
time="2021-06-04 07:43:03" level=info msg="12345678911验证状况!&{{authorizationStateWaitPhoneNumber VaeYNbehzXinZhOAMCOGgdJijUGjxvzh}}"
